{'task_id': 51, '符合数': 22, '不违规数': 3, '通过数': 2, '文本风险': 0}
{'task_id': 51, '符合数': 17, '不违规数': 7, '通过数': 4, '文本风险': 0}
{'task_id': 52, '符合数': 14, '不违规数': 9, '通过数': 3, '文本风险': 0}
{'task_id': 52, '符合数': 11, '不违规数': 6, '通过数': 3, '文本风险': 0}
{'task_id': 53, '符合数': 28, '不违规数': 11, '通过数': 10, '文本风险': 0}
{'task_id': 53, '符合数': 26, '不违规数': 12, '通过数': 11, '文本风险': 0}
{'task_id': 54, '符合数': 27, '不违规数': 0, '通过数': 0, '文本风险': 0}
{'task_id': 54, '符合数': 28, '不违规数': 3, '通过数': 3, '文本风险': 0}
{'task_id': 55, '符合数': 15, '不违规数': 11, '通过数': 6, '文本风险': 0}
{'task_id': 55, '符合数': 11, '不违规数': 15, '通过数': 4, '文本风险': 0}
{'task_id': 57, '符合数': 27, '不违规数': 12, '通过数': 11, '文本风险': 0}
{'task_id': 57, '符合数': 27, '不违规数': 16, '通过数': 15, '文本风险': 0}
{'task_id': 58, '符合数': 23, '不违规数': 15, '通过数': 12, '文本风险': 0}
{'task_id': 58, '符合数': 23, '不违规数': 15, '通过数': 12, '文本风险': 0}
{'task_id': 59, '符合数': 23, '不违规数': 19, '通过数': 14, '文本风险': 0}
{'task_id': 59, '符合数': 23, '不违规数': 8, '通过数': 6, '文本风险': 0}
{'task_id': 60, '符合数': 27, '不违规数': 5, '通过数': 4, '文本风险': 0}
{'task_id': 60, '符合数': 29, '不违规数': 11, '通过数': 10, '文本风险': 0}
{'task_id': 61, '符合数': 30, '不违规数': 9, '通过数': 9, '文本风险': 0}
{'task_id': 61, '符合数': 24, '不违规数': 5, '通过数': 4, '文本风险': 0}
{'task_id': 62, '符合数': 30, '不违规数': 16, '通过数': 16, '文本风险': 0}
{'task_id': 62, '符合数': 30, '不违规数': 17, '通过数': 17, '文本风险': 0}
{'task_id': 63, '符合数': 16, '不违规数': 5, '通过数': 3, '文本风险': 0}
{'task_id': 63, '符合数': 19, '不违规数': 8, '通过数': 6, '文本风险': 0}
{'task_id': 64, '符合数': 30, '不违规数': 17, '通过数': 17, '文本风险': 0}
{'task_id': 64, '符合数': 29, '不违规数': 16, '通过数': 15, '文本风险': 0}
{'task_id': 65, '符合数': 29, '不违规数': 7, '通过数': 6, '文本风险': 0}
{'task_id': 65, '符合数': 29, '不违规数': 2, '通过数': 2, '文本风险': 1}
{'task_id': 67, '符合数': 15, '不违规数': 16, '通过数': 9, '文本风险': 0}
{'task_id': 67, '符合数': 22, '不违规数': 12, '通过数': 10, '文本风险': 0}
{'task_id': 68, '符合数': 30, '不违规数': 14, '通过数': 14, '文本风险': 0}
{'task_id': 68, '符合数': 29, '不违规数': 14, '通过数': 14, '文本风险': 0}
{'task_id': 70, '符合数': 16, '不违规数': 12, '通过数': 7, '文本风险': 0}
{'task_id': 70, '符合数': 17, '不违规数': 8, '通过数': 6, '文本风险': 0}
{'task_id': 71, '符合数': 22, '不违规数': 9, '通过数': 8, '文本风险': 0}
{'task_id': 71, '符合数': 26, '不违规数': 6, '通过数': 3, '文本风险': 0}
{'task_id': 72, '符合数': 26, '不违规数': 7, '通过数': 7, '文本风险': 0}
{'task_id': 72, '符合数': 30, '不违规数': 10, '通过数': 10, '文本风险': 0}
{'task_id': 73, '符合数': 25, '不违规数': 3, '通过数': 3, '文本风险': 0}
{'task_id': 73, '符合数': 24, '不违规数': 3, '通过数': 2, '文本风险': 0}
{'task_id': 75, '符合数': 20, '不违规数': 13, '通过数': 8, '文本风险': 0}
{'task_id': 75, '符合数': 27, '不违规数': 8, '通过数': 6, '文本风险': 0}
{'task_id': 76, '符合数': 28, '不违规数': 8, '通过数': 8, '文本风险': 0}
{'task_id': 76, '符合数': 28, '不违规数': 7, '通过数': 7, '文本风险': 0}
{'task_id': 77, '符合数': 27, '不违规数': 8, '通过数': 8, '文本风险': 0}
{'task_id': 77, '符合数': 29, '不违规数': 8, '通过数': 8, '文本风险': 0}
{'task_id': 79, '符合数': 21, '不违规数': 21, '通过数': 13, '文本风险': 0}
{'task_id': 79, '符合数': 25, '不违规数': 20, '通过数': 17, '文本风险': 0}
{'task_id': 80, '符合数': 30, '不违规数': 14, '通过数': 14, '文本风险': 0}
{'task_id': 80, '符合数': 29, '不违规数': 19, '通过数': 19, '文本风险': 0}
{'task_id': 81, '符合数': 29, '不违规数': 3, '通过数': 3, '文本风险': 0}
{'task_id': 81, '符合数': 30, '不违规数': 7, '通过数': 7, '文本风险': 1}
{'task_id': 83, '符合数': 27, '不违规数': 8, '通过数': 8, '文本风险': 0}
{'task_id': 83, '符合数': 26, '不违规数': 10, '通过数': 9, '文本风险': 1}
{'task_id': 84, '符合数': 21, '不违规数': 14, '通过数': 8, '文本风险': 0}
{'task_id': 84, '符合数': 25, '不违规数': 12, '通过数': 9, '文本风险': 0}
{'task_id': 85, '符合数': 25, '不违规数': 18, '通过数': 15, '文本风险': 0}
{'task_id': 85, '符合数': 25, '不违规数': 15, '通过数': 11, '文本风险': 0}
{'task_id': 86, '符合数': 30, '不违规数': 8, '通过数': 8, '文本风险': 0}
{'task_id': 86, '符合数': 29, '不违规数': 6, '通过数': 6, '文本风险': 0}
{'task_id': 87, '符合数': 17, '不违规数': 8, '通过数': 4, '文本风险': 0}
{'task_id': 87, '符合数': 20, '不违规数': 8, '通过数': 4, '文本风险': 0}
{'task_id': 88, '符合数': 29, '不违规数': 21, '通过数': 20, '文本风险': 0}
{'task_id': 88, '符合数': 28, '不违规数': 13, '通过数': 12, '文本风险': 0}
{'task_id': 89, '符合数': 20, '不违规数': 9, '通过数': 6, '文本风险': 0}
{'task_id': 89, '符合数': 15, '不违规数': 11, '通过数': 5, '文本风险': 0}
{'task_id': 90, '符合数': 29, '不违规数': 20, '通过数': 19, '文本风险': 0}
{'task_id': 90, '符合数': 29, '不违规数': 14, '通过数': 14, '文本风险': 0}
{'task_id': 91, '符合数': 22, '不违规数': 15, '通过数': 11, '文本风险': 0}
{'task_id': 91, '符合数': 16, '不违规数': 12, '通过数': 5, '文本风险': 0}
{'task_id': 92, '符合数': 22, '不违规数': 10, '通过数': 9, '文本风险': 0}
{'task_id': 92, '符合数': 18, '不违规数': 9, '通过数': 6, '文本风险': 0}
{'task_id': 94, '符合数': 16, '不违规数': 19, '通过数': 8, '文本风险': 0}
{'task_id': 94, '符合数': 17, '不违规数': 14, '通过数': 7, '文本风险': 0}
{'task_id': 95, '符合数': 19, '不违规数': 16, '通过数': 9, '文本风险': 0}
{'task_id': 95, '符合数': 25, '不违规数': 8, '通过数': 6, '文本风险': 0}
