{'task_id': 1, '符合数': 49, '不违规数': 14, '通过数': 14, '文本风险': 0}
{'task_id': 1, '符合数': 43, '不违规数': 15, '通过数': 11, '文本风险': 0}

{'task_id': 2, '符合数': 33, '不违规数': 12, '通过数': 10, '文本风险': 0}
{'task_id': 2, '符合数': 26, '不违规数': 19, '通过数': 8, '文本风险': 0}

{'task_id': 3, '符合数': 26, '不违规数': 22, '通过数': 12, '文本风险': 0}
{'task_id': 3, '符合数': 21, '不违规数': 31, '通过数': 10, '文本风险': 0}

{'task_id': 4, '符合数': 24, '不违规数': 7, '通过数': 2, '文本风险': 0}
{'task_id': 4, '符合数': 27, '不违规数': 24, '通过数': 13, '文本风险': 0}

{'task_id': 5, '符合数': 18, '不违规数': 20, '通过数': 9, '文本风险': 0}
{'task_id': 5, '符合数': 22, '不违规数': 16, '通过数': 7, '文本风险': 0}

{'task_id': 6, '符合数': 20, '不违规数': 21, '通过数': 7, '文本风险': 0}
{'task_id': 6, '符合数': 27, '不违规数': 20, '通过数': 10, '文本风险': 0}

{'task_id': 7, '符合数': 37, '不违规数': 28, '通过数': 21, '文本风险': 0}
{'task_id': 7, '符合数': 9, '不违规数': 29, '通过数': 4, '文本风险': 0}

{'task_id': 8, '符合数': 48, '不违规数': 23, '通过数': 23, '文本风险': 0}
{'task_id': 8, '符合数': 47, '不违规数': 13, '通过数': 12, '文本风险': 0}

{'task_id': 9, '符合数': 46, '不违规数': 5, '通过数': 4, '文本风险': 0}
{'task_id': 9, '符合数': 50, '不违规数': 10, '通过数': 10, '文本风险': 0}

{'task_id': 10, '符合数': 47, '不违规数': 7, '通过数': 7, '文本风险': 0}
{'task_id': 10, '符合数': 47, '不违规数': 5, '通过数': 5, '文本风险': 0}

{'task_id': 11, '符合数': 40, '不违规数': 21, '通过数': 14, '文本风险': 0}
{'task_id': 11, '符合数': 31, '不违规数': 19, '通过数': 13, '文本风险': 0}

{'task_id': 12, '符合数': 41, '不违规数': 29, '通过数': 23, '文本风险': 0}
{'task_id': 12, '符合数': 34, '不违规数': 27, '通过数': 18, '文本风险': 0}

{'task_id': 13, '符合数': 37, '不违规数': 21, '通过数': 15, '文本风险': 0}
{'task_id': 13, '符合数': 31, '不违规数': 9, '通过数': 6, '文本风险': 0}

{'task_id': 14, '符合数': 31, '不违规数': 17, '通过数': 8, '文本风险': 0}
{'task_id': 14, '符合数': 27, '不违规数': 29, '通过数': 13, '文本风险': 0}

{'task_id': 15, '符合数': 49, '不违规数': 30, '通过数': 29, '文本风险': 0}
{'task_id': 15, '符合数': 47, '不违规数': 23, '通过数': 21, '文本风险': 0}

{'task_id': 16, '符合数': 30, '不违规数': 5, '通过数': 3, '文本风险': 0}
{'task_id': 16, '符合数': 21, '不违规数': 18, '通过数': 3, '文本风险': 0}

{'task_id': 17, '符合数': 42, '不违规数': 16, '通过数': 13, '文本风险': 0}
{'task_id': 17, '符合数': 39, '不违规数': 17, '通过数': 14, '文本风险': 0}

{'task_id': 18, '符合数': 36, '不违规数': 20, '通过数': 15, '文本风险': 0}
{'task_id': 18, '符合数': 19, '不违规数': 30, '通过数': 10, '文本风险': 0}

{'task_id': 19, '符合数': 45, '不违规数': 22, '通过数': 19, '文本风险': 0}
{'task_id': 19, '符合数': 43, '不违规数': 25, '通过数': 20, '文本风险': 0}

{'task_id': 20, '符合数': 43, '不违规数': 27, '通过数': 24, '文本风险': 0}
