{'task_id': 1, '符合数': 30, '不违规数': 7, '通过数': 7, '文本风险': 0}
{'task_id': 1, '符合数': 28, '不违规数': 9, '通过数': 8, '文本风险': 0}
{'task_id': 2, '符合数': 17, '不违规数': 8, '通过数': 3, '文本风险': 0}
{'task_id': 2, '符合数': 13, '不违规数': 7, '通过数': 5, '文本风险': 0}
{'task_id': 3, '符合数': 13, '不违规数': 13, '通过数': 7, '文本风险': 0}
{'task_id': 3, '符合数': 2, '不违规数': 11, '通过数': 0, '文本风险': 0}
{'task_id': 4, '符合数': 18, '不违规数': 14, '通过数': 9, '文本风险': 0}
{'task_id': 4, '符合数': 9, '不违规数': 6, '通过数': 2, '文本风险': 0}
{'task_id': 5, '符合数': 15, '不违规数': 7, '通过数': 3, '文本风险': 0}
{'task_id': 5, '符合数': 8, '不违规数': 15, '通过数': 3, '文本风险': 0}
{'task_id': 6, '符合数': 16, '不违规数': 10, '通过数': 6, '文本风险': 0}
{'task_id': 6, '符合数': 12, '不违规数': 14, '通过数': 5, '文本风险': 0}
{'task_id': 7, '符合数': 19, '不违规数': 16, '通过数': 13, '文本风险': 0}
{'task_id': 7, '符合数': 10, '不违规数': 16, '通过数': 5, '文本风险': 0}
{'task_id': 8, '符合数': 29, '不违规数': 13, '通过数': 13, '文本风险': 0}
{'task_id': 8, '符合数': 30, '不违规数': 17, '通过数': 17, '文本风险': 0}
{'task_id': 9, '符合数': 26, '不违规数': 9, '通过数': 8, '文本风险': 0}
{'task_id': 9, '符合数': 24, '不违规数': 8, '通过数': 5, '文本风险': 0}
{'task_id': 10, '符合数': 18, '不违规数': 6, '通过数': 4, '文本风险': 0}
{'task_id': 10, '符合数': 6, '不违规数': 16, '通过数': 3, '文本风险': 0}
{'task_id': 11, '符合数': 26, '不违规数': 7, '通过数': 5, '文本风险': 0}
{'task_id': 11, '符合数': 16, '不违规数': 13, '通过数': 8, '文本风险': 0}
{'task_id': 12, '符合数': 25, '不违规数': 17, '通过数': 14, '文本风险': 0}
{'task_id': 12, '符合数': 18, '不违规数': 15, '通过数': 11, '文本风险': 0}
{'task_id': 13, '符合数': 21, '不违规数': 3, '通过数': 2, '文本风险': 0}
{'task_id': 13, '符合数': 14, '不违规数': 1, '通过数': 0, '文本风险': 0}
{'task_id': 14, '符合数': 20, '不违规数': 11, '通过数': 5, '文本风险': 0}
{'task_id': 14, '符合数': 15, '不违规数': 10, '通过数': 3, '文本风险': 0}
{'task_id': 15, '符合数': 26, '不违规数': 16, '通过数': 14, '文本风险': 0}
{'task_id': 15, '符合数': 26, '不违规数': 14, '通过数': 12, '文本风险': 0}
{'task_id': 16, '符合数': 17, '不违规数': 4, '通过数': 1, '文本风险': 0}
